,Line ID,Shape ID,Departure Time,Vehicle ID,Scheduled Travel Time (min),Travel Time (min),Distance (m),Energy Consumption (kWh)
0,1-1,1-1-A-420,05:42:00,veh_47_bus,31.0,32.916666666666664,12015.203493190682,12.432123490588532
1,1-1,1-1-A-420,06:02:00,veh_48_bus,31.0,32.916666666666664,12015.203493190682,12.257823131755877
2,1-1,1-1-A-420,06:22:00,veh_49_bus,31.0,32.916666666666664,12015.203493190682,12.322270911688111
3,1-1,1-1-A-420,06:55:00,veh_74_bus,33.0,34.96666666666667,12015.203493190682,12.297140738475006
4,1-1,1-1-A-420,07:21:00,veh_0_bus,35.0,36.96666666666667,12015.203493190682,12.292661760462254
5,1-1,1-1-A-420,07:52:00,veh_15_bus,34.0,35.916666666666664,12015.203493190682,12.307368172824155
6,1-1,1-1-A-420,08:24:00,veh_16_bus,34.0,35.916666666666664,12015.203493190682,12.308326983214412
7,1-1,1-1-A-420,08:55:00,veh_17_bus,33.0,34.916666666666664,12015.203493190682,12.328923405023861
8,1-1,1-1-A-420,09:23:00,veh_18_bus,33.0,34.916666666666664,12015.203493190682,12.438359743831807
9,1-1,1-1-A-420,09:52:00,veh_1_bus,35.0,36.916666666666664,12015.203493190682,12.25238306762068
10,1-1,1-1-A-420,10:22:00,veh_2_bus,35.0,36.86666666666667,12015.203493190682,12.252911272605157
11,1-1,1-1-A-420,10:52:00,veh_3_bus,35.0,36.916666666666664,12015.203493190682,12.253455609046112
12,1-1,1-1-A-420,11:22:00,veh_4_bus,35.0,36.916666666666664,12015.203493190682,12.254081336321226
13,1-1,1-1-A-420,11:52:00,veh_5_bus,35.0,37.016666666666666,12015.203493190682,12.2217047059154
14,1-1,1-1-A-420,12:22:00,veh_6_bus,35.0,36.916666666666664,12015.203493190682,12.230821302654707
15,1-1,1-1-A-420,12:52:00,veh_7_bus,35.0,36.916666666666664,12015.203493190682,12.254081336321226
16,1-1,1-1-A-420,13:21:00,veh_8_bus,35.0,36.916666666666664,12015.203493190682,12.254081336321226
17,1-1,1-1-A-420,13:50:00,veh_9_bus,35.0,36.916666666666664,12015.203493190682,12.254081336321226
18,1-1,1-1-A-420,14:21:00,veh_10_bus,35.0,36.916666666666664,12015.203493190682,12.253639173939211
19,1-1,1-1-A-420,14:52:00,veh_57_bus,36.0,37.416666666666664,12015.203493190682,12.264376743212043
20,1-1,1-1-A-420,15:06:00,veh_52_bus,37.0,38.416666666666664,12015.203493190682,12.362387386801934
21,1-1,1-1-A-420,15:19:00,veh_75_bus,38.0,39.46666666666667,12015.203493190682,12.233586764052802
22,1-1,1-1-A-420,15:34:00,veh_13_bus,40.0,41.5,12015.203493190682,12.170624976798518
23,1-1,1-1-A-420,15:48:00,veh_14_bus,40.0,41.46666666666667,12015.203493190682,12.249328632584183
24,1-1,1-1-A-420,16:02:00,veh_53_bus,41.0,42.36666666666667,12015.203493190682,12.409675686988235
25,1-1,1-1-A-420,16:23:00,veh_54_bus,41.0,42.516666666666666,12015.203493190682,12.230463910081427
26,1-1,1-1-A-420,16:46:00,veh_55_bus,41.0,42.36666666666667,12015.203493190682,12.266370022618878
27,1-1,1-1-A-420,17:08:00,veh_35_bus,37.0,38.46666666666667,12015.203493190682,12.271693439187633
28,1-1,1-1-A-420,17:38:00,veh_73_bus,35.0,36.516666666666666,12015.203493190682,12.29771741967104
29,1-1,1-1-A-420,18:11:00,veh_19_bus,33.0,35.016666666666666,12015.203493190682,12.221972151967922
30,1-1,1-1-A-420,18:40:00,veh_20_bus,33.0,34.916666666666664,12015.203493190682,12.27738240051914
31,1-1,1-1-A-420,19:11:00,veh_36_bus,32.0,33.86666666666667,12015.203493190682,12.426393529335225
32,1-1,1-1-A-420,19:42:00,veh_50_bus,31.0,32.916666666666664,12015.203493190682,12.257823131755877
33,1-1,1-1-A-420,20:42:00,veh_51_bus,31.0,32.916666666666664,12015.203493190682,12.257823131755877
34,1-1,1-1-A-420,21:43:00,veh_76_bus,30.0,31.916666666666668,12015.203493190682,12.396715967044807
35,1-1,1-1-A-420,22:43:00,veh_77_bus,30.0,31.916666666666668,12015.203493190682,12.222415608212152
36,1-1,1-1-A-420,23:43:00,veh_78_bus,30.0,31.916666666666668,12015.203493190682,12.222415608212152
37,1-1,1-1-R-434,06:29:00,veh_79_bus,27.0,25.633333333333333,11331.729943485298,10.70012481706879
38,1-1,1-1-R-434,07:00:00,veh_66_bus,30.0,28.316666666666666,11331.729943485298,10.964474425801791
39,1-1,1-1-R-434,07:20:00,veh_69_bus,32.0,30.316666666666666,11331.729943485298,10.99968850563049
40,1-1,1-1-R-434,07:40:00,veh_71_bus,33.0,31.016666666666666,11331.729943485298,10.738094048536022
41,1-1,1-1-R-434,08:01:00,veh_58_bus,32.0,30.016666666666666,11331.729943485298,10.840644624593558
42,1-1,1-1-R-434,08:31:00,veh_59_bus,32.0,30.016666666666666,11331.729943485298,10.908276810580093
43,1-1,1-1-R-434,09:03:00,veh_67_bus,30.0,28.266666666666666,11331.729943485298,11.112086713318092
